Category,SubCategory,Task
Project Management,Change Management,Handle Project Changes Effectively
Project Management,Agile Project Estimation,Estimate Effort and Time in Agile Projects
Project Management,Backlog Management,Prioritize and Manage Product Backlogs
Project Management,Team Empowerment,Foster Empowerment within Project Teams
Project Management,Conflict Resolution,Resolve Conflicts within Project Teams
AI Model Integration,Speech Recognition,Integrate AI Model for Speech Recognition
AI Model Integration,Image Classification,Implement Image Classification using AI Models
AI Model Integration,Natural Language Processing (NLP),Incorporate NLP Models for Text Analysis
AI Model Integration,Recommendation Systems,Develop and Deploy AI-based Recommendation Systems
AI Model Integration,Anomaly Detection,Utilize AI Models for Anomaly Detection
AI Model Integration,Sentiment Analysis,Integrate Sentiment Analysis AI Models
AI Model Integration,Chatbot Development,Build Chatbots using AI-powered Natural Language Understanding
AI Model Integration,Emotion Recognition,Implement Emotion Recognition using AI Models
AI Model Integration,Predictive Analytics,Leverage AI Models for Predictive Analytics
AI Model Integration,Personalization,Apply AI Models for Personalized User Experiences
AI Model Integration,Generative Models,Explore and Implement Generative AI Models
AI Model Integration,Human Pose Estimation,Integrate AI Models for Human Pose Estimation
AI Model Integration,Object Detection,Implement Object Detection using AI Models
AI Model Integration,Facial Recognition,Incorporate AI Models for Facial Recognition
AI Model Integration,Document Summarization,Utilize AI Models for Document Summarization
AI Model Integration,Language Translation,Integrate AI Models for Language Translation
AI Model Integration,Content Generation,Generate Content using AI-powered Models
AI Model Integration,Fraud Detection,Implement Fraud Detection using AI Models
AI Model Integration,Time Series Forecasting,Utilize AI Models for Time Series Forecasting
AI Model Integration,Healthcare Diagnostics,Integrate AI Models for Healthcare Diagnostics
AI Model Integration,Autonomous Systems,Develop Autonomous Systems using AI Models
AI Model Integration,Knowledge Graphs,Build Knowledge Graphs with AI Models
AI Model Integration,Graphical User Interface (GUI) Generation,Implement GUI Generation with AI Models
AI Model Integration,Cognitive Services Integration,Incorporate Cognitive Services using AI Models
AI Model Integration,Virtual Assistant Development,Build Virtual Assistants with AI-powered Conversational Agents
AI Model Integration,Behavior Analysis,Utilize AI Models for Human Behavior Analysis
AI Model Integration,Pattern Recognition,Implement Pattern Recognition using AI Models
AI Model Integration,Augmented Reality (AR) Integration,Integrate AI Models with Augmented Reality Experiences
AI Model Integration,Automated Code Generation,Explore Automated Code Generation using AI Models
AI Model Integration,Data Preprocessing Automation,Automate Data Preprocessing with AI Models
AI Model Integration,Explainable AI (XAI),Implement Explainable AI Models for Interpretability
AI Model Integration,AI Model Versioning,Manage Versions of AI Models in Production
AI Model Integration,Transfer Learning,Apply Transfer Learning Techniques in AI Model Integration
AI Model Integration,Federated Learning,Explore Federated Learning for Decentralized AI Model Training
AI Model Integration,Edge AI Integration,Integrate AI Models for Edge Computing Applications
AI Model Integration,Quantum Computing Integration,Explore Integration of AI Models with Quantum Computing
AI Model Integration,Ethical AI Implementation,Implement Ethical Considerations in AI Model Integration
AI Model Integration,Interdisciplinary AI,Integrate AI Models across Interdisciplinary Applications
OpenAI API Integration,Chat Completion,Integrate OpenAI GPT Models for Chat Completion
OpenAI API Integration,Function Calling,Incorporate OpenAI API for Function Calling Scenarios
OpenAI API Integration,Assistants Development,Develop Virtual Assistants using OpenAI API
OpenAI API Integration,Whisper Integration,Utilize OpenAI Whisper API for Speech Recognition
OpenAI API Integration,GPT-4 Vision Integration,Integrate GPT-4 Vision Models for Image Understanding
OpenAI API Integration,Summarization with OpenAI,Implement Document Summarization using OpenAI API
OpenAI API Integration,Translation with OpenAI,Incorporate OpenAI API for Language Translation
OpenAI API Integration,Code Generation with OpenAI,Generate Code using OpenAI API for Automated Programming
OpenAI API Integration,Content Creation,Create Content with OpenAI API-powered Models
OpenAI API Integration,Question Answering,Integrate OpenAI API for Question Answering Systems
OpenAI API Integration,Image Captioning with OpenAI,Implement Image Captioning using OpenAI API
OpenAI API Integration,Text Generation with OpenAI,Utilize OpenAI API for Text Generation Applications
OpenAI API Integration,Conversational Agents with OpenAI,Build Conversational Agents using OpenAI API
OpenAI API Integration,Interactive Storytelling,Create Interactive Stories using OpenAI API
OpenAI API Integration,Speech-to-Text with OpenAI,Integrate OpenAI API for Speech-to-Text Applications
OpenAI API Integration,Text-to-Speech with OpenAI,Implement Text-to-Speech Systems using OpenAI API
OpenAI API Integration,Language Understanding with OpenAI,Incorporate OpenAI API for Natural Language Understanding
OpenAI API Integration,Data Analysis with OpenAI,Utilize OpenAI API for Data Analysis and Insights
OpenAI API Integration,Virtual Reality (VR) Integration,Integrate OpenAI API with VR Experiences
OpenAI API Integration,Augmented Reality (AR) Integration,Incorporate OpenAI API for AR Applications
OpenAI API Integration,Medical Diagnosis with OpenAI,Implement Medical Diagnosis using OpenAI API
OpenAI API Integration,Financial Forecasting with OpenAI,Utilize OpenAI API for Financial Forecasting
OpenAI API Integration,Weather Prediction with OpenAI,Integrate OpenAI API for Weather Prediction
OpenAI API Integration,Social Media Content Generation,Generate Social Media Content using OpenAI API
OpenAI API Integration,Legal Document Analysis,Analyze Legal Documents with OpenAI API
OpenAI API Integration,Scientific Research Assistance,Assist Scientific Research using OpenAI API
OpenAI API Integration,Creative Writing with OpenAI,Enhance Creative Writing with OpenAI API
OpenAI API Integration,Personalized Recommendations with OpenAI,Implement Personalized Recommendations using OpenAI API
OpenAI API Integration,AI-powered Gaming,Integrate OpenAI API for AI-driven Gaming Experiences
OpenAI API Integration,E-commerce Product Recommendations,Implement Product Recommendations in E-commerce using OpenAI API
OpenAI API Integration,AI-driven Decision Support Systems,Incorporate OpenAI API for Decision Support Systems
OpenAI API Integration,DALL-E Image Generation,Generate Images with DALL-E using OpenAI API
OpenAI API Integration,Visual Content Understanding with OpenAI,Incorporate OpenAI API for Visual Content Understanding
OpenAI API Integration,Artistic Image Generation with DALL-E,Create Artistic Images using DALL-E and OpenAI API
OpenAI API Integration,Image Captioning with OpenAI,Implement Image Captioning using OpenAI API
OpenAI API Integration,Visual Search Engines with OpenAI,Build Visual Search Engines using OpenAI Embedding Models
OpenAI API Integration,Image Generation from Text with DALL-E,Generate Images from Text Descriptions using DALL-E and OpenAI API
OpenAI API Integration,Embedding-based Image Retrieval,Retrieve Images based on Embeddings using OpenAI API
Information Extraction,JSON schema,Pydantic
Information Extraction,Yaml schema,Jinja
Information Extraction,XML parsing,ElementTree
Information Extraction,Regular Expressions,Text pattern matching
Information Extraction,Extract text from PDF files,PDF parsing
Information Extraction,Extract data from CSV files,CSV parsing
Information Extraction,Extract data from Excel files,Excel parsing
Information Extraction,Extract data from images,Image processing (OCR)
Information Extraction,Extract audio from videos,Audio extraction
Information Extraction,Extract metadata from files,File metadata
Information Retrieval (RAG),JSON Schema,"Extract financial data like stock rating, target price, KPIs, and catalysts as a JSON object."
Information Retrieval (RAG),JSON Schema,"Retrieve healthcare information, including patient data, diagnoses, and treatment plans, in a structured JSON format."
Information Retrieval (RAG),JSON Schema,"Extract educationaIl data such as student performance, course details, and teacher evaluations in a JSON structure."
Information Retrieval (RAG),JSON Schema,"Retrieve hospitality industry data, including hotel reviews, ratings, and guest feedback, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Extract financial information from the consulting sector, including client data, project details, and financial performance, in JSON format."
Information Retrieval (RAG),JSON Schema,"Retrieve legal industry data such as case details, legal precedents, and client information in a structured JSON schema."
Information Retrieval (RAG),JSON Schema,"Extract supply chain and logistics data, including shipment details, inventory status, and delivery schedules, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Retrieve manufacturing data, including production metrics, inventory levels, and quality control information, in JSON format."
Information Retrieval (RAG),JSON Schema,"Extract data from the telecommunications sector, including network performance, customer feedback, and service status, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Retrieve data from the energy sector, including production levels, resource utilization, and environmental impact, in a structured JSON schema."
Information Retrieval (RAG),JSON Schema,"Extract e-commerce data, including product details, customer reviews, and sales trends, in a structured JSON format."
Information Retrieval (RAG),JSON Schema,"Retrieve social media analytics, including user engagement, sentiment analysis, and trending topics, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Extract weather data, including temperature, precipitation, and forecasts, in a JSON structure."
Information Retrieval (RAG),JSON Schema,"Retrieve sports statistics, including player performance, team rankings, and match results, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Extract travel and tourism information, including flight details, hotel bookings, and tourist attractions, in JSON format."
Information Retrieval (RAG),JSON Schema,"Retrieve news and media data, including headlines, articles, and trending topics, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Extract real estate details, including property listings, market trends, and housing prices, in a structured JSON schema."
Information Retrieval (RAG),JSON Schema,"Retrieve automotive data, including vehicle specifications, reviews, and market trends, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Extract entertainment industry information, including movie reviews, artist details, and box office figures, in JSON format."
Information Retrieval (RAG),JSON Schema,"Retrieve health and fitness data, including workout routines, nutritional information, and wellness tips, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Extract government and public sector data, including policy updates, demographic information, and public service details, in a structured JSON schema."
Information Retrieval (RAG), JSON Schema, Retrieve relevant legal documents based on specific legal queries in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve e-commerce product details based on customer queries in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve research papers relevant to climate change from large academic databases in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve educational resources based on specific curriculum queries in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve patient records based on specific medical queries in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve hotel reviews based on specific traveler preferences in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve consulting reports based on specific industry queries in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve legal precedents based on specific case queries in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve data related to cargo shipments based on specific logistics queries in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve manufacturing data based on specific production queries in a structured JSON format.
Named Entity Recognition, JSON Schema, Identify and categorize medical codes and related entities in healthcare texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize specific vehicle details in automotive texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize financial terms in economic texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize academic terms and institutions in educational texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize medical treatments and procedures in healthcare texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize amenities and services in hospitality texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize business terms and corporate entities in consulting texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize legal terms and entities in law texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize supply chain entities and logistics terms in transportation texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize production units and machinery details in manufacturing texts presented as a JSON object.
Relation Extraction, JSON Schema, Extract connections between historical figures and events in historical texts represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between characters and plot points in fiction novels represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between genes and diseases in biomedical research articles represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between historical events and cultural developments in history textbooks represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between symptoms and diagnoses in medical case studies represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between guest experiences and hotel features in customer reviews represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between market trends and business strategies in industry analyses represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between legal statutes and court decisions in legal documents represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between suppliers and manufacturers in supply chain documents represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between raw materials and finished products in production manuals represented in a structured JSON schema.
Text Classification, JSON Schema, "Categorize social media posts into specific sentiment classes (e.g., positive, negative, neutral) in a JSON format."
Text Classification, JSON Schema, "Categorize user reviews of movies into specific genres (e.g., action, drama) in a JSON format."
Text Classification, JSON Schema, Categorize customer reviews of financial services into specific service categories in a JSON format.
Text Classification, JSON Schema, Categorize student essays into specific academic disciplines in a JSON format.
Text Classification, JSON Schema, Categorize medical research articles into specific medical specialties in a JSON format.
Text Classification, JSON Schema, Categorize restaurant reviews into specific cuisine types and dining experiences in a JSON format.
Text Classification, JSON Schema, Categorize client feedback into specific service areas and satisfaction levels in a JSON format.
Text Classification, JSON Schema, Categorize legal opinions into specific legal domains and case types in a JSON format.
Text Classification, JSON Schema, Categorize shipping invoices into specific product categories and delivery schedules in a JSON format.
Text Classification, JSON Schema, Categorize quality control reports into specific defect categories and.
Document Ranking, JSON Schema, Rank news articles based on trending topics and user preferences presented as a structured JSON object.
Document Ranking, JSON Schema, Rank blog posts based on their popularity and relevance to specific topics presented as a structured JSON object.
Document Ranking, JSON Schema, Rank legal documents based on their relevance to specific case law queries presented as a structured JSON object.
Document Ranking, JSON Schema, Rank educational research papers based on citation count and academic impact presented as a structured JSON object.
Document Ranking, JSON Schema, Rank healthcare blogs based on their relevance to specific medical conditions presented as a structured JSON object.
Document Ranking, JSON Schema, Rank travel blogs based on their relevance to specific tourist destinations presented as a structured JSON object.
Document Ranking, JSON Schema, Rank business articles based on their relevance to specific corporate challenges presented as a structured JSON object.
Document Ranking, JSON Schema, Rank legal articles based on their relevance to specific legal issues presented as a structured JSON object.
Document Ranking, JSON Schema, Rank transportation-related articles based on their relevance to specific industry trends presented as a structured JSON object.
Document Ranking, JSON Schema, Rank manufacturing data based on specific production queries in a structured JSON object.
Annotation, JSON Schema, Annotate scientific articles with relevant research domains and key findings represented in a JSON structure.
Annotation, JSON Schema, Annotate recipes with nutritional information and ingredient details represented in a JSON structure.
Annotation, JSON Schema, Annotate insurance claims with relevant policy information and claim details represented in a JSON structure.
Annotation, JSON Schema, Annotate online courses with relevant learning outcomes and assessment details represented in a JSON structure.
Annotation, JSON Schema, Annotate electronic health records with relevant patient demographics and medical history details represented in a JSON structure.
Annotation, JSON Schema, Annotate event venues with relevant facilities and capacities represented in a JSON structure.
Annotation, JSON Schema, Annotate financial statements with relevant performance metrics and industry benchmarks represented in a JSON structure.
Annotation, JSON Schema, Annotate contracts with relevant clauses and legal obligations represented in a JSON structure.
Annotation, JSON Schema, Annotate delivery schedules with relevant shipment details and carrier information represented in a JSON structure.
Annotation, JSON Schema, Annotate manufacturing data based on specific production queries in a structured JSON object.
Topic Modelling, JSON Schema, Uncover and categorize emerging trends in user reviews of consumer products as a structured JSON object.
Topic Modelling, JSON Schema, Uncover prevalent themes in travel blogs and articles as a structured JSON object.
Topic Modelling, JSON Schema, Uncover prevalent themes in consulting reports and industry analyses as a structured JSON object.
Topic Modelling, JSON Schema, Analyze and categorize key insights from customer feedback on electronic gadgets presented as a structured JSON object.
Topic Modelling, JSON Schema, Explore and classify major topics discussed in fashion and lifestyle blogs structured in a JSON format.
Topic Modelling, JSON Schema, Identify and categorize emerging trends in technology-related whitepapers and research reports represented in a structured JSON schema.
Topic Modelling, JSON Schema, Unearth prevailing themes in market research studies and consumer surveys organized in a JSON structure.
Topic Modelling, JSON Schema, Analyze and categorize insights from user-generated content on social media platforms presented as a structured JSON object.
Topic Modelling, JSON Schema, Identify and categorize key themes in product reviews for beauty and skincare items structured in a JSON format.
Topic Modelling, JSON Schema, Explore and classify prevalent topics in food and culinary blogs presented as a structured JSON schema.
Web Browser Agent,Search APIs,Bing
Web Browser Agent,Search APIs,Google
Web Browser Agent,Search APIs,DuckDuckGo
Web Browser Agent,Web Scraping,BeautifulSoup
Web Browser Agent,Web Scraping,Selenium
Web Browser Agent,Web Navigation,Fill out forms
Web Browser Agent,Web Navigation,Click buttons
Web Browser Agent,Download files from websites,File downloads
Web Browser Agent,Take screenshots of web pages,Web page screenshots
Web Browser Agent,Manage browser extensions,Browser extensions
Web Browser Agent,Interact with pop-ups and dialogs,Web interactions
Web Browser Agent,Handle multiple tabs and windows,Browser window management
Web APIs,Request-Reply HTTP APIs,API usage
Web APIs,Weather data APIs,Weather APIs
Web APIs,Location APIs,Geolocation APIs
Web APIs,ECommerce APIs,Online shopping APIs
Web APIs,Call translation APIs,Translation APIs
Web APIs,Call image recognition APIs,Image recognition APIs
Web APIs,Call sentiment analysis APIs,Sentiment analysis APIs
Web APIs,Call text summarization APIs,Text summarization APIs
Web APIs,Call speech-to-text APIs,Speech-to-text APIs
Web APIs,Call text-to-speech APIs,Text-to-speech APIs
Web APIs,Call financial data APIs,Financial data APIs
Web APIs,Call news APIs,News APIs
Productivity Tools Integration,Emails,Email integration
Productivity Tools Integration,Calendar,Calendar integration
Productivity Tools Integration,Task management,Task management integration
Productivity Tools Integration,Send and receive emails,Email clients
Productivity Tools Integration,Manage contacts,Contact management
Productivity Tools Integration,Schedule meetings,Calendar apps
Productivity Tools Integration,Create and edit documents,Document editors
Productivity Tools Integration,Take notes,Note-taking apps
Productivity Tools Integration,Collaborate with others,Collaborative tools
Operating System Functions,File system access,Read
Operating System Functions,File system access,Write
Operating System Functions,File system access,Delete files
Operating System Functions,File system access,Search files
Operating System Functions,Process management,List
Operating System Functions,Process management,Kill
Operating System Functions,Process management,Prioritize processes
Operating System Functions,Memory management,View usage
Operating System Functions,Memory management,Clear memory/caches
Operating System Functions,Bash commands,Terminal Commands
Operating System Functions,Bash commands,Command-line tools
Operating System Functions,Bash commands,File manipulation
Operating System Functions,Scripting,Shell scripting
Operating System Functions,Create and manage folders,File system management
Operating System Functions,Move and copy files,File system operations
Operating System Functions,Compress and decompress files,File compression
Operating System Functions,Change file permissions,File permissions
Operating System Functions,Check disk space usage,Disk management
Operating System Functions,Monitor system resources,System monitoring
Operating System Functions,Schedule tasks,Task scheduling
Code Interpreters,Python REPL,Python REPL usage
Code Interpreters,Virtual environments,Virtual environment setup
Code Interpreters,Package installation,Package installation and management
Code Interpreters,Code profiling,Code profiling techniques
Code Interpreters,Debug code,Debugging techniques
Code Interpreters,Profile code performance,Profiling code performance
Code Interpreters,Test code,Testing best practices
Code Interpreters,Write unit tests,Unit testing fundamentals
Code Interpreters,Write integration tests,Integration testing fundamentals
Code Interpreters,Use linters and code formatters,Code quality tools usage
Database Management,Functions for executing SQL queries,SQL query execution
Database Management,Database connection,SQLite,SQLite connection
Database Management,Database connection,MySQL,MySQL connection
Database Management,Database connection,PostgreSQL,PostgreSQL connection
Database Management,Create and manage database tables,Table management
Database Management,Data manipulation,Data manipulation basics
Database Management,Data manipulation,Insert
Database Management,Data manipulation,Update
Database Management,Data manipulation,Delete
Database Management,Write complex SQL queries,Advanced SQL querying
Database Management,Perform database backups,Backup and recovery
Database Management,Optimize database performance,Performance tuning
Git Operations,Clone repos,Clone repositories
Git Operations,Commit changes,Committing changes
Git Operations,Pull requests,Pull request workflow
Git Operations,Branch and merge code,Branching and merging
Git Operations,Resolve merge conflicts,Conflict resolution
Git Operations,Revert changes,Reverting changes
Git Operations,Tag code versions,Version tagging
Git Operations,Interact with remote repositories,Remote collaboration
Data Processing,Data Cleaning,Data cleaning techniques
Data Processing,Data Transformation,Data transformation methods
Data Processing,Data Aggregation,Data aggregation techniques
Data Processing,Data Filtering,Data filtering methods
Data Processing,Data Migration,Data migration strategies
Data Processing,Data Compression,Data compression techniques
Data Processing,Data Encryption,Data encryption methods
Data Processing,Data Serialization,Data serialization methods
Data Processing,Data Validation,Data validation procedures
Data Processing,Data Augmentation,Data augmentation techniques
Data Processing,Data Normalization,Data normalization methods
Data Processing,Data Sampling,Data sampling techniques
Data Processing,Data Splitting,Data splitting methods
Data Processing,Data Imputation,Data imputation methods
Data Processing,Data Resampling,Data resampling methods
Data Processing,Data Integration,Data integration strategies
Data Processing,Data Deduplication,Data deduplication techniques
Data Processing,Data Exploration,Data exploration methods
Data Processing,Data Synchronization,Data synchronization techniques
Data Processing,Data Backup,Data backup methods
Data Processing,Data Recovery,Data recovery methods
Data Processing,Data Archiving,Data archiving methods
Data Processing,Data versioning,Data versioning techniques
Data Processing,Data replication,Data replication methods
Data Processing,Handle missing values,Handling missing data
Data Processing,Detect and remove outliers,Outlier detection techniques
Data Processing,Normalize and standardize data,Data normalization and standardization
Data Processing,Feature engineering,Feature engineering methods
Data Processing,Feature selection,Feature selection methods
Data Processing,Data visualization,Data visualization techniques
Desktop Applications,MS Office,Word Document Manipulation
Desktop Applications,MS Office,Excel Spreadsheet Manipulation
Desktop Applications,MS Office,PowerPoint Presentation Manipulation
Desktop Applications,MS Office,Outlook Email Management
Desktop Applications,Calculator,Perform Basic Calculations
Desktop Applications,Mail,Compose and Send Emails
Desktop Applications,Mail,Receive and Manage Emails
Desktop Applications,Calendar,Create and Manage Events
Desktop Applications,Notes,Create and Edit Notes
Desktop Applications,Contacts,Manage Contact Information
Desktop Applications,Reminders,Set and Manage Reminders
Desktop Applications,File Explorer (Windows),Navigate and Search Files
Desktop Applications,File Explorer (Windows),Copy and Move Files
Desktop Applications,File Explorer (Windows),Delete and Restore Files
Desktop Applications,File Explorer (Windows),Change File Permissions
Desktop Applications,Finder (Mac),Navigate and Search Files
Desktop Applications,Finder (Mac),Copy and Move Files
Desktop Applications,Finder (Mac),Delete and Restore Files
Desktop Applications,Finder (Mac),Change File Permissions
Desktop Applications,Terminal (Command Line),Execute Basic Bash Commands
Desktop Applications,Terminal (Command Line),File Manipulation with Command Line
Desktop Applications,Terminal (Command Line),Scripting and Automation
Desktop Applications,Code Editors,Open and Edit Code Files
Desktop Applications,Code Editors,Code Autocompletion
Desktop Applications,Code Editors,Code Compilation
Desktop Applications,Code Editors,Code Debugging
Desktop Applications,Code Editors,Version Control Integration
Desktop Applications,Web Browsers,Open and Navigate Web Pages
Desktop Applications,Web Browsers,Submit Forms on Web Pages
Desktop Applications,Web Browsers,Download Files from Websites
Desktop Applications,Web Browsers,Bookmark Management
Desktop Applications,Productivity Tools,Task Management
Desktop Applications,Productivity Tools,Collaborative Document Editing
Desktop Applications,Productivity Tools,Cloud Storage Integration
Desktop Applications,Productivity Tools,Note-Taking
Desktop Applications,Productivity Tools,Calendar Integration
Desktop Applications,Graphics Editor,Image Editing
Desktop Applications,Graphics Editor,Graphic Design
Desktop Applications,Graphics Editor,Export and Save Images
Desktop Applications,Video Editor,Video Editing
Desktop Applications,Video Editor,Export and Save Videos
Desktop Applications,Communication Apps,Send and Receive Messages
Desktop Applications,Communication Apps,Audio and Video Calls
Desktop Applications,Communication Apps,File Sharing
Desktop Applications,Social Media Apps,Post and Share Content
Desktop Applications,Social Media Apps,Interact with Posts
Desktop Applications,Social Media Apps,Manage Social Media Account
Mobile Applications,iPhone,Contacts,Add and Edit Contacts
Mobile Applications,iPhone,Messages,Send and Receive Text Messages
Mobile Applications,iPhone,Phone Calls,Make and Receive Phone Calls
Mobile Applications,iPhone,Calendar,Create and Manage Events
Mobile Applications,iPhone,Notes,Create and Edit Notes
Mobile Applications,iPhone,Reminders,Set and Manage Reminders
Mobile Applications,iPhone,Mail,Compose and Send Emails
Mobile Applications,iPhone,Maps,Get Directions and Navigate
Mobile Applications,iPhone,Photos,View and Organize Photos
Mobile Applications,iPhone,Health,Track and Monitor Health Data
Mobile Applications,iPhone,Weather,Check Weather Forecast
Mobile Applications,iPhone,Music,Play and Manage Music
Mobile Applications,iPhone,Podcasts,Listen to Podcasts
Mobile Applications,iPhone,News,Read and Follow News
Mobile Applications,iPhone,Settings,Adjust Device Settings
Mobile Applications,iPhone,App Store,Browse and Install Apps
Mobile Applications,iPhone,FaceTime,Make Video Calls
Mobile Applications,iPhone,Safari,Browse the Web
Mobile Applications,iPhone,Wallet,Manage Payment and Cards
Mobile Applications,iPhone,Files,Manage Files and Documents
Mobile Applications,iPhone,Translate,Translate Text or Speech
Mobile Applications,iPhone,Measure,Measure Objects and Spaces
Mobile Applications,Android,Contacts,Add and Edit Contacts
Mobile Applications,Android,Messages,Send and Receive Text Messages
Mobile Applications,Android,Phone Calls,Make and Receive Phone Calls
Mobile Applications,Android,Calendar,Create and Manage Events
Mobile Applications,Android,Notes,Create and Edit Notes
Mobile Applications,Android,Reminders,Set and Manage Reminders
Mobile Applications,Android,Email,Compose and Send Emails
Mobile Applications,Android,Maps,Get Directions and Navigate
Mobile Applications,Android,Photos,View and Organize Photos
Mobile Applications,Android,Health,Track and Monitor Health Data
Mobile Applications,Android,Weather,Check Weather Forecast
Mobile Applications,Android,Music,Play and Manage Music
Mobile Applications,Android,Podcasts,Listen to Podcasts
Mobile Applications,Android,News,Read and Follow News
Mobile Applications,Android,Settings,Adjust Device Settings
Mobile Applications,Android,Google Play Store,Browse and Install Apps
Mobile Applications,Android,Video Calls,Make Video Calls
Mobile Applications,Android,Chrome,Browse the Web
Mobile Applications,Android,Google Pay,Manage Payments and Cards
Mobile Applications,Android,Files,Manage Files and Documents
Mobile Applications,Android,Translate,Translate Text or Speech
Mobile Applications,Android,Measure,Measure Objects and Spaces
Cloud Platforms,AWS,Compute,Launch and Manage EC2 Instances
Cloud Platforms,AWS,Compute,Autoscaling Configuration
Cloud Platforms,AWS,Compute,Instance Security Groups
Cloud Platforms,AWS,Storage,Create and Manage S3 Buckets
Cloud Platforms,AWS,Storage,Upload and Download Objects in S3
Cloud Platforms,AWS,Storage,S3 Bucket Policies
Cloud Platforms,AWS,Database,Create and Configure RDS Instances
Cloud Platforms,AWS,Database,Database Backups and Restores
Cloud Platforms,AWS,Networking,Configure VPC (Virtual Private Cloud)
Cloud Platforms,AWS,Networking,Manage Route Tables and Subnets
Cloud Platforms,AWS,Networking,Load Balancer Setup
Cloud Platforms,AWS,Security,IAM User Management
Cloud Platforms,AWS,Security,Key Pair Management
Cloud Platforms,AWS,Security,Security Group Configuration
Cloud Platforms,AWS,Monitoring,Set Up CloudWatch Alarms
Cloud Platforms,AWS,Monitoring,Analyze CloudWatch Metrics
Cloud Platforms,AWS,Monitoring,Logging with CloudWatch Logs
Cloud Platforms,Azure,Compute,Create and Manage Virtual Machines
Cloud Platforms,Azure,Compute,Scale Sets Configuration
Cloud Platforms,Azure,Compute,Virtual Machine Extensions
Cloud Platforms,Azure,Storage,Manage Azure Storage Accounts
Cloud Platforms,Azure,Storage,Blob Storage Operations
Cloud Platforms,Azure,Storage,Azure File Share Configuration
Cloud Platforms,Azure,Database,Deploy and Manage Azure SQL Database
Cloud Platforms,Azure,Database,Database Scaling and Sharding
Cloud Platforms,Azure,Networking,Set Up Virtual Networks
Cloud Platforms,Azure,Networking,Azure Traffic Manager
Cloud Platforms,Azure,Networking,Load Balancer Configuration
Cloud Platforms,Azure,Security,Azure Active Directory Setup
Cloud Platforms,Azure,Security,Role-Based Access Control (RBAC)
Cloud Platforms,Azure,Security,Azure Key Vault Configuration
Cloud Platforms,Azure,Monitoring,Azure Monitor Configuration
Cloud Platforms,Azure,Monitoring,Application Insights Integration
Cloud Platforms,Azure,Monitoring,Log Analytics Queries
Cloud Platforms,GCP,Compute,Create and Manage Compute Engine Instances
Cloud Platforms,GCP,Compute,Instance Groups Configuration
Cloud Platforms,GCP,Compute,Google Kubernetes Engine (GKE) Setup
Cloud Platforms,GCP,Storage,Create and Manage Google Cloud Storage Buckets
Cloud Platforms,GCP,Storage,Cloud Storage Access Control
Cloud Platforms,GCP,Storage,Transfer Appliance Configuration
Cloud Platforms,GCP,Database,Deploy and Manage Cloud SQL Instances
Cloud Platforms,GCP,Database,NoSQL Datastore Operations
Cloud Platforms,GCP,Database,Bigtable Configuration
Cloud Platforms,GCP,Networking,Set Up Virtual Private Cloud (VPC)
Cloud Platforms,GCP,Networking,Load Balancing in GCP
Cloud Platforms,GCP,Networking,Cloud DNS Configuration
Cloud Platforms,GCP,Security,Identity and Access Management (IAM)
Cloud Platforms,GCP,Security,Cloud KMS (Key Management Service)
