
2023 National Employment Matrix title,2023 National Employment Matrix code,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
Lighting technicians[1],27-4015,2.8,14.1,27.9,13.1,36.0,5.3,0.7
Photographers,27-4021,1.7,12.6,21.5,11.9,42.8,8.3,1.0
"Camera operators, television, video, and film[1]",27-4031,1.1,8.6,17.1,8.7,55.1,8.3,1.1
Film and video editors[1],27-4032,1.1,8.6,17.1,8.7,55.1,8.3,1.1
"Media and communication equipment workers, all other[1]",27-4099,2.8,14.1,27.9,13.1,36.0,5.3,0.7
Chiropractors,29-1011,0.2,1.4,1.2,0.5,7.0,3.3,86.5
"Dentists, general[1]",29-1021,0.0,0.0,0.0,0.0,0.0,3.7,96.3
Oral and maxillofacial surgeons[1],29-1022,0.0,0.0,0.0,0.0,0.0,3.7,96.3
Orthodontists[1],29-1023,0.0,0.0,0.0,0.0,0.0,3.7,96.3
Prosthodontists[1],29-1024,0.0,0.0,0.0,0.0,0.0,3.7,96.3
"Dentists, all other specialists[1]",29-1029,0.0,0.0,0.0,0.0,0.0,3.7,96.3
Dietitians and nutritionists,29-1031,2.1,9.3,5.9,3.3,38.7,34.6,6.1
Optometrists,29-1041,0.0,0.0,0.0,0.0,0.0,2.7,97.3
Pharmacists,29-1051,0.0,0.0,0.6,0.9,24.2,5.4,68.9
Physician assistants,29-1071,0.8,2.3,1.6,2.3,19.1,59.1,14.7
Podiatrists,29-1081,0.0,0.0,0.0,0.0,0.0,1.8,98.2
Occupational therapists,29-1122,0.4,0.8,0.7,2.8,30.5,55.5,9.4
Physical therapists,29-1123,0.4,1.1,1.3,3.2,24.0,18.8,51.1
Radiation therapists,29-1124,0.4,8.4,5.8,33.2,40.6,8.1,3.4
Recreational therapists,29-1125,1.9,8.4,10.2,11.1,49.7,18.0,0.7
Respiratory therapists,29-1126,0.5,1.3,11.4,50.5,30.8,4.3,1.3
Speech-language pathologists,29-1127,0.6,1.0,0.6,0.6,11.9,81.7,3.6
Exercise physiologists[1],29-1128,0.9,2.7,3.8,4.9,21.4,60.0,6.3
"Therapists, all other[1]",29-1129,0.9,2.7,3.8,4.9,21.4,60.0,6.3
Veterinarians,29-1131,0.0,0.0,0.0,0.0,0.0,3.2,96.8
Registered nurses,29-1141,0.5,1.1,4.1,26.4,53.8,11.5,2.5
Nurse anesthetists,29-1151,0.1,0.7,0.8,1.0,12.3,62.8,22.4
Nurse midwives[1],29-1161,0.4,1.0,0.6,0.4,8.4,71.3,17.9
Nurse practitioners[1],29-1171,0.4,1.0,0.6,0.4,8.4,71.3,17.9
Audiologists,29-1181,0.4,1.1,1.8,1.9,9.2,18.2,67.4
Anesthesiologists[1],29-1211,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Cardiologists[1],29-1212,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Dermatologists[1],29-1213,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Emergency medicine physicians[1],29-1214,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Family medicine physicians[1],29-1215,0.0,0.0,0.0,0.0,0.0,0.0,100.0
General internal medicine physicians[1],29-1216,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Neurologists[1],29-1217,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Obstetricians and gynecologists[1],29-1218,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Pediatricians, general[1]",29-1221,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Physicians, pathologists[1]",29-1222,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Psychiatrists[1],29-1223,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Radiologists[1],29-1224,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Physicians, all other[1]",29-1229,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Ophthalmologists, except pediatric[1]",29-1241,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Orthopedic surgeons, except pediatric[1]",29-1242,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Pediatric surgeons[1],29-1243,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Surgeons, all other[1]",29-1249,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Acupuncturists,29-1291,2.0,0.8,1.7,0.6,10.6,51.9,32.5
Dental hygienists,29-1292,0.9,2.8,7.7,47.8,35.2,3.0,2.5
"Healthcare diagnosing or treating practitioners, all other",29-1299,0.1,6.3,14.1,6.3,27.4,16.6,29.2
Clinical laboratory technologists and technicians,29-2010,2.1,10.7,16.8,17.9,41.6,7.9,3.2
Cardiovascular technologists and technicians,29-2031,3.0,12.9,22.1,17.6,31.2,12.1,1.1
Diagnostic medical sonographers,29-2032,1.0,4.2,10.4,34.3,39.0,8.7,2.3
Nuclear medicine technologists[1],29-2033,1.3,2.7,3.9,13.8,55.0,21.4,1.9
Radiologic technologists and technicians,29-2034,0.6,5.0,16.3,48.9,24.2,4.2,0.9
Magnetic resonance imaging technologists,29-2035,1.2,5.3,10.7,32.3,38.0,11.7,0.8
Medical dosimetrists[1],29-2036,1.3,2.7,3.9,13.8,55.0,21.4,1.9
Emergency medical technicians,29-2042,1.2,18.1,39.9,18.3,18.4,2.8,1.2
Paramedics,29-2043,0.4,7.7,39.6,26.0,17.7,3.8,4.9
Dietetic technicians[1],29-2051,9.3,39.9,19.5,12.5,13.7,4.0,1.1
Pharmacy technicians,29-2052,2.5,24.7,35.0,17.2,16.8,2.6,1.2
Psychiatric technicians,29-2053,2.1,14.1,25.0,15.2,31.3,10.6,1.8
Surgical technologists,29-2055,1.3,12.0,34.9,37.9,11.7,1.5,0.7
Veterinary technologists and technicians,29-2056,1.5,13.8,26.7,31.6,23.6,1.6,1.2
Ophthalmic medical technicians[1],29-2057,9.3,39.9,19.5,12.5,13.7,4.0,1.1
Licensed practical and licensed vocational nurses,29-2061,1.5,20.4,53.6,19.4,4.1,0.8,0.3
Medical records specialists,29-2072,2.3,18.8,31.6,25.2,16.4,4.6,1.1
"Opticians, dispensing",29-2081,2.3,26.3,29.1,19.9,19.3,2.1,0.9
Orthotists and prosthetists[1],29-2091,2.7,18.2,30.0,15.6,23.5,6.9,3.2
Hearing aid specialists[1],29-2092,2.7,18.2,30.0,15.6,23.5,6.9,3.2
"Health technologists and technicians, all other[1]",29-2099,2.7,18.2,30.0,15.6,23.5,6.9,3.2
Health information technologists and medical registrars[1],29-9021,0.7,8.5,12.7,9.5,29.5,33.9,5.2
Athletic trainers[1],29-9091,0.7,8.5,12.7,9.5,29.5,33.9,5.2
Genetic counselors[1],29-9092,0.7,8.5,12.7,9.5,29.5,33.9,5.2
Surgical assistants[1],29-9093,0.7,8.5,12.7,9.5,29.5,33.9,5.2
"Healthcare practitioners and technical workers, all other[1]",29-9099,0.7,8.5,12.7,9.5,29.5,33.9,5.2
Home health and personal care aides[1],31-1120,17.5,35.0,24.0,9.6,10.4,2.7,0.7
Nursing assistants,31-1131,10.0,37.2,31.4,11.7,7.8,1.4,0.4
Orderlies[1],31-1132,4.9,42.1,26.4,10.6,12.0,3.2,0.8
Psychiatric aides[1],31-1133,4.9,42.1,26.4,10.6,12.0,3.2,0.8
Occupational therapy assistants[1],31-2011,2.1,12.6,14.5,48.7,17.1,4.1,0.9
Occupational therapy aides[1],31-2012,2.1,12.6,14.5,48.7,17.1,4.1,0.9
Physical therapist assistants[1],31-2021,0.5,3.9,11.5,47.3,30.9,3.4,2.5
Physical therapist aides[1],31-2022,0.5,3.9,11.5,47.3,30.9,3.4,2.5
Massage therapists,31-9011,3.7,19.4,31.4,19.6,19.7,3.8,2.3
Dental assistants,31-9091,3.0,26.9,36.7,20.0,11.0,0.7,1.8
Medical assistants,31-9092,2.0,19.9,37.7,24.8,11.9,2.6,1.1
Medical equipment preparers[1],31-9093,4.5,25.8,27.5,14.9,19.0,6.3,1.8
Medical transcriptionists,31-9094,2.2,12.7,32.4,21.2,25.1,4.6,1.8
Pharmacy aides,31-9095,6.9,35.3,28.6,7.7,15.8,2.9,2.8
Veterinary assistants and laboratory animal caretakers,31-9096,3.7,20.2,29.0,16.9,27.5,1.5,1.2
Phlebotomists,31-9097,2.1,26.7,39.8,19.8,8.8,1.8,1.2
"Healthcare support workers, all other[1]",31-9099,4.5,25.8,27.5,14.9,19.0,6.3,1.8
First-line supervisors of correctional officers,33-1011,1.2,25.5,29.7,17.4,19.1,6.4,0.7
First-line supervisors of police and detectives,33-1012,0.7,13.4,24.8,12.6,34.2,12.6,1.7
First-line supervisors of firefighting and prevention workers,33-1021,1.1,10.9,31.0,26.1,21.8,8.2,0.9
First-line supervisors of security workers[1],33-1091,1.4,19.2,31.3,11.6,24.0,10.2,2.3
"First-line supervisors of protective service workers, all other[1]",33-1099,1.4,19.2,31.3,11.6,24.0,10.2,2.3
Firefighters,33-2011,0.7,14.1,35.9,23.0,22.5,3.1,0.7
Fire inspectors and investigators[1],33-2021,2.2,24.7,30.2,16.4,22.0,3.6,1.0
Forest fire inspectors and prevention specialists[1],33-2022,2.2,24.7,30.2,16.4,22.0,3.6,1.0
Bailiffs,33-3011,0.3,20.5,30.6,17.2,22.7,6.4,2.3
Correctional officers and jailers,33-3012,2.1,31.5,33.5,14.4,15.8,2.4,0.3
Detectives and criminal investigators,33-3021,0.5,7.1,18.3,9.9,44.2,16.9,3.1
Fish and game wardens[1],33-3031,2.0,19.5,20.3,13.1,35.2,8.6,1.2
Parking enforcement workers[1],33-3041,2.0,19.5,20.3,13.1,35.2,8.6,1.2
Police and sheriff's patrol officers[1],33-3051,1.0,12.6,28.6,16.9,33.1,6.9,0.9
Transit and railroad police[1],33-3052,1.0,12.6,28.6,16.9,33.1,6.9,0.9
Animal control workers,33-9011,3.2,23.9,32.2,15.7,22.4,2.7,0.0
Private detectives and investigators,33-9021,1.3,11.7,19.4,9.7,40.3,14.7,2.9
Gambling surveillance officers and gambling investigators[1],33-9031,6.1,34.9,28.8,12.0,14.1,3.3,0.7
Security guards[1],33-9032,6.1,34.9,28.8,12.0,14.1,3.3,0.7
Crossing guards and flaggers,33-9091,13.8,45.3,21.6,8.1,8.5,1.7,1.1
"Lifeguards, ski patrol, and other recreational protective service workers[1]",33-9092,1.8,13.4,24.8,8.4,42.0,8.9,0.7
Transportation security screeners,33-9093,1.4,23.8,32.5,11.5,24.5,5.5,0.8
School bus monitors,33-9094,14.1,50.5,21.7,8.0,4.5,1.1,0.1
"Protective service workers, all other[1]",33-9099,1.8,13.4,24.8,8.4,42.0,8.9,0.7
Chefs and head cooks,35-1011,17.5,30.6,20.9,16.9,12.1,1.3,0.6
First-line supervisors of food preparation and serving workers,35-1012,9.6,36.9,27.3,11.1,12.8,1.9,0.5
"Cooks, fast food[1]",35-2011,26.9,42.7,17.4,6.1,5.7,1.1,0.3
"Cooks, institution and cafeteria[1]",35-2012,26.9,42.7,17.4,6.1,5.7,1.1,0.3
"Cooks, private household[1]",35-2013,26.9,42.7,17.4,6.1,5.7,1.1,0.3
"Cooks, restaurant[1]",35-2014,26.9,42.7,17.4,6.1,5.7,1.1,0.3
"Cooks, short order[1]",35-2015,26.9,42.7,17.4,6.1,5.7,1.1,0.3
"Cooks, all other[1]",35-2019,26.9,42.7,17.4,6.1,5.7,1.1,0.3
Food preparation workers,35-2021,23.9,42.0,18.6,6.7,7.2,1.4,0.3
Bartenders,35-3011,5.6,29.9,32.4,11.6,18.1,2.2,0.2
Fast food and counter workers,35-3023,13.0,36.3,24.0,8.4,14.7,2.9,0.8
Waiters and waitresses,35-3031,12.2,35.4,26.9,8.9,14.0,2.1,0.5
"Food servers, nonrestaurant",35-3041,11.9,41.1,23.6,8.4,11.8,3.0,0.1
Dining room and cafeteria attendants and bartender helpers,35-9011,21.4,45.3,17.5,6.4,7.8,1.2,0.4
Dishwashers,35-9021,34.6,43.9,12.6,4.0,3.8,0.7,0.2
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,8.8,33.1,25.8,9.4,18.8,3.4,0.7
"Food preparation and serving related workers, all other",35-9099,23.3,38.5,17.8,7.8,9.2,1.5,2.0
First-line supervisors of housekeeping and janitorial workers,37-1011,12.6,39.1,23.6,9.1,12.6,2.6,0.4
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,19.0,32.5,20.6,7.9,17.1,2.6,0.3
"Janitors and cleaners, except maids and housekeeping cleaners[1]",37-2011,23.4,45.2,18.0,6.6,5.5,0.9,0.3
Maids and housekeeping cleaners,37-2012,33.6,40.9,13.9,5.0,5.3,0.9,0.3
"Building cleaning workers, all other[1]",37-2019,23.4,45.2,18.0,6.6,5.5,0.9,0.3
Pest control workers,37-2021,6.3,44.6,27.9,7.9,11.9,1.2,0.2
Landscaping and groundskeeping workers,37-3011,35.2,36.0,14.9,5.3,7.3,1.1,0.3
"Pesticide handlers, sprayers, and applicators, vegetation[1]",37-3012,21.0,36.1,19.1,6.4,14.4,2.3,0.7
Tree trimmers and pruners,37-3013,25.6,40.1,16.3,5.3,10.4,1.7,0.5
"Grounds maintenance workers, all other[1]",37-3019,21.0,36.1,19.1,6.4,14.4,2.3,0.7
First-line supervisors of gambling services workers[1],39-1013,4.6,32.6,26.8,14.1,17.9,3.0,0.9
"First-line supervisors of entertainment and recreation workers, except gambling services[1]",39-1014,4.6,32.6,26.8,14.1,17.9,3.0,0.9
First-line supervisors of personal service workers[1],39-1022,4.6,32.6,26.8,14.1,17.9,3.0,0.9
Animal trainers,39-2011,7.0,25.3,25.3,8.4,27.0,6.0,1.1
Animal caretakers,39-2021,8.3,31.9,24.4,10.7,21.2,2.8,0.7
Gambling dealers[1],39-3011,8.5,32.6,28.6,10.4,16.1,3.0,0.8
Gambling and sports book writers and runners[1],39-3012,8.5,32.6,28.6,10.4,16.1,3.0,0.8
"Gambling service workers, all other[1]",39-3019,8.5,32.6,28.6,10.4,16.1,3.0,0.8
Motion picture projectionists[1],39-3021,4.7,24.7,26.4,9.5,27.0,6.4,1.3
"Ushers, lobby attendants, and ticket takers",39-3031,7.0,24.0,25.5,14.3,20.5,8.2,0.6
Amusement and recreation attendants[1],39-3091,4.7,24.7,26.4,9.5,27.0,6.4,1.3
Costume attendants[1],39-3092,4.7,24.7,26.4,9.5,27.0,6.4,1.3
"Locker room, coatroom, and dressing room attendants[1]",39-3093,4.7,24.7,26.4,9.5,27.0,6.4,1.3
"Entertainment attendants and related workers, all other[1]",39-3099,4.7,24.7,26.4,9.5,27.0,6.4,1.3
Embalmers[1],39-4011,6.0,27.2,29.5,15.7,14.3,6.1,1.3
Crematory operators[1],39-4012,6.0,27.2,29.5,15.7,14.3,6.1,1.3
Funeral attendants[1],39-4021,6.0,27.2,29.5,15.7,14.3,6.1,1.3
"Morticians, undertakers, and funeral arrangers",39-4031,1.6,7.5,17.2,36.9,28.8,5.1,2.9
Barbers,39-5011,9.9,47.4,26.4,9.8,5.1,0.9,0.4
"Hairdressers, hairstylists, and cosmetologists",39-5012,5.6,43.6,31.3,12.2,6.0,0.9,0.3
"Makeup artists, theatrical and performance[1]",39-5091,5.0,32.4,31.0,8.3,16.6,6.3,0.3
Manicurists and pedicurists,39-5092,28.3,38.4,17.1,7.1,7.7,1.1,0.4
Shampooers[1],39-5093,5.0,32.4,31.0,8.3,16.6,6.3,0.3
Skincare specialists,39-5094,2.9,23.3,36.6,14.8,17.5,3.9,0.9
Baggage porters and bellhops[1],39-6011,9.1,36.4,26.3,8.8,15.9,2.7,0.9
Concierges[1],39-6012,9.1,36.4,26.3,8.8,15.9,2.7,0.9
Tour and travel guides,39-7010,2.9,16.1,20.7,6.2,36.1,16.1,1.9
Childcare workers,39-9011,11.7,30.7,24.4,11.1,17.5,4.0,0.6
Exercise trainers and group fitness instructors,39-9031,1.2,10.8,18.8,8.9,43.9,14.2,2.2
Recreation workers,39-9032,4.3,19.7,25.4,11.7,29.0,8.6,1.4
Residential advisors,39-9041,4.1,29.8,22.2,11.9,22.5,8.5,0.9
"Personal care and service workers, all other",39-9099,7.8,25.6,25.9,10.8,22.1,5.7,2.0
First-line supervisors of retail sales workers,41-1011,5.7,28.5,26.8,10.4,22.7,4.8,1.0
First-line supervisors of non-retail sales workers,41-1012,4.9,22.0,21.9,9.0,31.8,8.9,1.4
Cashiers[1],41-2011,13.5,42.8,22.7,8.2,10.1,2.1,0.5
Gambling change persons and booth cashiers[1],41-2012,13.5,42.8,22.7,8.2,10.1,2.1,0.5
Counter and rental clerks,41-2021,8.8,29.4,27.3,10.7,19.8,3.3,0.6
Parts salespersons,41-2022,8.3,46.5,27.7,10.5,6.1,0.7,0.2
Retail salespersons,41-2031,6.5,29.7,26.5,10.5,21.9,4.1,0.8
Advertising sales agents,41-3011,2.4,10.2,16.8,6.6,53.4,9.6,1.0
Insurance sales agents,41-3021,1.6,15.7,24.6,10.8,37.8,7.7,1.9
"Securities, commodities, and financial services sales agents",41-3031,1.7,6.4,12.8,5.4,52.3,18.0,3.4
Travel agents,41-3041,2.2,18.6,27.6,10.6,30.0,9.7,1.3
"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,2.2,14.8,20.5,7.8,43.7,9.5,1.5
"Sales representatives, wholesale and manufacturing, technical and scientific products[1]",41-4011,3.0,17.7,20.9,8.9,40.8,7.6,1.0
"Sales representatives, wholesale and manufacturing, except technical and scientific products[1]",41-4012,3.0,17.7,20.9,8.9,40.8,7.6,1.0
Demonstrators and product promoters[1],41-9011,8.2,24.0,22.5,12.0,25.9,5.3,2.2
Models[1],41-9012,8.2,24.0,22.5,12.0,25.9,5.3,2.2
Real estate brokers[1],41-9021,1.3,12.1,23.8,9.9,40.3,10.4,2.2
Real estate sales agents[1],41-9022,1.3,12.1,23.8,9.9,40.3,10.4,2.2
Sales engineers,41-9031,1.3,4.1,10.3,8.4,55.7,18.3,2.0
Telemarketers,41-9041,4.4,33.2,27.7,13.2,19.0,1.4,1.1
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,14.2,27.9,21.8,9.9,20.9,4.2,1.1
"Sales and related workers, all other",41-9099,4.4,22.4,22.3,8.8,33.2,7.9,1.0
First-line supervisors of office and administrative support workers,43-1011,2.5,20.9,27.1,12.9,27.4,8.0,1.2
"Switchboard operators, including answering service",43-2011,4.7,34.4,33.3,13.7,7.0,3.5,3.3
Telephone operators,43-2021,6.0,36.6,27.1,14.2,13.6,2.2,0.4
"Communications equipment operators, all other",43-2099,1.9,17.1,21.7,16.8,35.9,5.0,1.5
Bill and account collectors,43-3011,2.7,29.1,35.8,12.8,16.3,2.6,0.6
Billing and posting clerks,43-3021,2.8,27.4,31.3,16.2,17.9,3.6,0.7
"Bookkeeping, accounting, and auditing clerks",43-3031,3.6,26.2,34.9,14.5,17.0,3.3,0.5
Gambling cage workers[1],43-3041,2.4,17.5,23.1,10.4,32.3,13.2,1.1
Payroll and timekeeping clerks,43-3051,2.2,20.8,30.2,16.9,24.4,4.9,0.6
Procurement clerks,43-3061,3.3,19.6,25.0,13.2,26.3,11.9,0.7
Tellers,43-3071,2.8,34.0,30.0,12.9,17.2,2.9,0.2
"Financial clerks, all other[1]",43-3099,2.4,17.5,23.1,10.4,32.3,13.2,1.1
Brokerage clerks[1],43-4011,1.7,18.3,25.5,14.7,27.9,10.1,1.7
Correspondence clerks[1],43-4021,6.1,29.6,29.1,10.8,20.4,3.5,0.5
"Court, municipal, and license clerks",43-4031,2.0,23.7,29.0,16.6,22.8,4.5,1.4
"Credit authorizers, checkers, and clerks",43-4041,1.0,23.5,33.2,13.4,22.5,5.3,1.1
Customer service representatives,43-4051,4.1,26.4,29.4,12.2,22.9,4.4,0.7
"Eligibility interviewers, government programs",43-4061,0.9,13.6,22.7,14.2,37.5,10.1,0.9
File clerks,43-4071,3.9,25.4,29.4,12.8,21.7,5.7,1.2
"Hotel, motel, and resort desk clerks",43-4081,7.3,33.1,27.6,9.9,17.5,3.7,0.8
"Interviewers, except eligibility and loan",43-4111,2.3,24.0,29.8,14.6,21.5,6.7,1.1
"Library assistants, clerical",43-4121,1.7,12.1,21.0,14.0,36.4,12.7,2.1
Loan interviewers and clerks,43-4131,2.3,22.3,32.3,12.1,27.0,3.4,0.5
New accounts clerks,43-4141,0.9,28.7,28.4,14.9,24.2,3.0,0.0
Order clerks[1],43-4151,6.1,29.6,29.1,10.8,20.4,3.5,0.5
"Human resources assistants, except payroll and timekeeping",43-4161,2.2,16.7,25.0,9.5,33.7,11.5,1.3
Receptionists and information clerks,43-4171,3.7,31.5,31.4,14.2,15.7,3.0,0.5
Reservation and transportation ticket agents and travel clerks,43-4181,3.1,26.7,31.8,11.4,22.2,3.6,1.2
"Information and record clerks, all other[1]",43-4199,1.7,18.3,25.5,14.7,27.9,10.1,1.7
Cargo and freight agents,43-5011,3.2,29.3,27.0,13.0,21.7,5.5,0.3
Couriers and messengers,43-5021,8.0,33.5,29.2,10.2,15.1,3.0,1.0
Public safety telecommunicators,43-5031,1.1,22.1,38.0,16.0,19.6,2.6,0.6
"Dispatchers, except police, fire, and ambulance",43-5032,6.0,31.9,32.2,12.2,14.2,3.0,0.6
"Meter readers, utilities",43-5041,3.9,50.7,30.3,8.7,6.1,0.3,0.0
Postal service clerks,43-5051,3.9,32.0,35.6,12.4,12.8,2.9,0.4
Postal service mail carriers,43-5052,2.7,34.2,34.2,12.4,14.3,1.9,0.2
"Postal service mail sorters, processors, and processing machine operators",43-5053,3.9,35.0,32.5,13.3,13.4,1.7,0.1
"Production, planning, and expediting clerks",43-5061,2.6,22.6,24.5,11.1,30.2,7.9,1.1
"Shipping, receiving, and inventory clerks",43-5071,10.9,43.0,25.2,9.1,10.1,1.4,0.3
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,8.6,41.5,26.0,10.7,10.4,2.3,0.5
Executive secretaries and executive administrative assistants,43-6011,1.3,14.8,27.5,14.6,34.1,6.7,1.0
Legal secretaries and administrative assistants,43-6012,1.6,22.8,30.0,21.4,20.2,3.1,0.9
Medical secretaries and administrative assistants,43-6013,1.7,25.0,34.6,16.3,17.5,4.6,0.4
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,2.6,25.9,29.4,14.9,21.7,4.8,0.8
Data entry keyers,43-9021,3.1,27.9,31.1,13.9,20.3,3.4,0.5
Word processors and typists,43-9022,1.4,26.9,32.5,16.0,17.5,5.3,0.5
Desktop publishers[1],43-9031,2.2,17.8,24.8,12.5,30.1,11.0,1.5
Insurance claims and policy processing clerks,43-9041,1.8,24.6,31.9,13.5,22.5,4.6,1.1
"Mail clerks and mail machine operators, except postal service",43-9051,9.5,36.6,25.0,11.1,14.8,2.2,0.7
"Office clerks, general",43-9061,3.6,30.3,29.4,13.6,18.2,4.1,0.8
"Office machine operators, except computer",43-9071,10.9,33.8,26.3,11.7,14.5,2.0,0.8
Proofreaders and copy markers,43-9081,3.7,13.7,18.2,9.2,40.8,11.9,2.5
Statistical assistants,43-9111,2.2,19.3,25.3,11.2,30.4,9.6,1.9
"Office and administrative support workers, all other[1]",43-9199,2.2,17.8,24.8,12.5,30.1,11.0,1.5
"First-line supervisors of farming, fishing, and forestry workers",45-1011,31.9,30.1,16.7,7.1,11.7,2.4,0.2
Agricultural inspectors,45-2011,5.2,24.5,18.3,6.9,34.9,8.8,1.3
Animal breeders[1],45-2021,46.7,29.0,10.7,4.5,7.4,1.4,0.3
"Graders and sorters, agricultural products",45-2041,48.9,30.7,10.2,2.7,6.7,0.5,0.2
Agricultural equipment operators[1],45-2091,46.7,29.0,10.7,4.5,7.4,1.4,0.3
"Farmworkers and laborers, crop, nursery, and greenhouse[1]",45-2092,46.7,29.0,10.7,4.5,7.4,1.4,0.3
"Farmworkers, farm, ranch, and aquacultural animals[1]",45-2093,46.7,29.0,10.7,4.5,7.4,1.4,0.3
"Agricultural workers, all other[1]",45-2099,46.7,29.0,10.7,4.5,7.4,1.4,0.3
Fishing and hunting workers,45-3031,14.6,40.3,23.9,7.1,11.6,2.4,0.2
Forest and conservation workers,45-4011,25.1,34.0,12.8,6.9,15.6,5.0,0.6
Fallers[1],45-4021,25.3,52.3,13.2,3.4,4.7,0.8,0.3
Logging equipment operators[1],45-4022,25.3,52.3,13.2,3.4,4.7,0.8,0.3
Log graders and scalers[1],45-4023,25.3,52.3,13.2,3.4,4.7,0.8,0.3
"Logging workers, all other[1]",45-4029,25.3,52.3,13.2,3.4,4.7,0.8,0.3
First-line supervisors of construction trades and extraction workers,47-1011,16.5,43.7,21.3,7.7,8.8,1.5,0.4
Boilermakers,47-2011,11.7,49.5,26.5,9.6,2.3,0.5,0.0
Brickmasons and blockmasons[1],47-2021,35.2,43.7,12.6,3.6,4.3,0.4,0.1
Stonemasons[1],47-2022,35.2,43.7,12.6,3.6,4.3,0.4,0.1
Carpenters,47-2031,25.4,42.4,18.5,5.6,6.7,1.1,0.3
Carpet installers[1],47-2041,35.7,41.3,13.4,4.1,4.7,0.4,0.4
"Floor layers, except carpet, wood, and hard tiles[1]",47-2042,35.7,41.3,13.4,4.1,4.7,0.4,0.4
Floor sanders and finishers[1],47-2043,35.7,41.3,13.4,4.1,4.7,0.4,0.4
Tile and stone setters[1],47-2044,35.7,41.3,13.4,4.1,4.7,0.4,0.4
Cement masons and concrete finishers[1],47-2051,38.4,42.3,12.4,3.9,2.3,0.6,0.0
Terrazzo workers and finishers[1],47-2053,38.4,42.3,12.4,3.9,2.3,0.6,0.0
Construction laborers,47-2061,34.7,39.6,14.7,4.5,5.4,1.0,0.3
"Paving, surfacing, and tamping equipment operators[1]",47-2071,19.8,52.7,18.6,5.5,2.8,0.4,0.2
Pile driver operators[1],47-2072,19.8,52.7,18.6,5.5,2.8,0.4,0.2
Operating engineers and other construction equipment operators[1],47-2073,19.8,52.7,18.6,5.5,2.8,0.4,0.2
Drywall and ceiling tile installers[1],47-2081,42.5,41.8,10.4,3.3,1.6,0.2,0.1
Tapers[1],47-2082,42.5,41.8,10.4,3.3,1.6,0.2,0.1
Electricians,47-2111,7.7,37.8,29.7,15.9,7.3,1.1,0.3
Glaziers,47-2121,17.3,50.6,20.7,6.0,3.9,1.5,0.0
"Insulation workers, floor, ceiling, and wall[1]",47-2131,28.5,47.6,12.5,5.5,5.8,0.1,0.1
"Insulation workers, mechanical[1]",47-2132,28.5,47.6,12.5,5.5,5.8,0.1,0.1
"Painters, construction and maintenance[1]",47-2141,33.9,39.7,14.5,4.4,6.2,1.0,0.4
Paperhangers[1],47-2142,33.9,39.7,14.5,4.4,6.2,1.0,0.4
Pipelayers,47-2151,26.1,44.0,18.6,6.6,2.7,1.2,0.8
"Plumbers, pipefitters, and steamfitters",47-2152,14.4,45.3,25.1,8.8,5.3,0.9,0.2
Plasterers and stucco masons,47-2161,54.7,29.7,10.2,3.3,2.1,0.1,0.0
Reinforcing iron and rebar workers[1],47-2171,35.2,43.7,12.6,3.6,4.3,0.4,0.1
Roofers,47-2181,43.5,38.7,11.0,3.1,3.1,0.5,0.2
Sheet metal workers,47-2211,11.0,51.1,23.6,8.3,5.1,0.6,0.2
Structural iron and steel workers,47-2221,11.1,49.1,24.3,8.3,6.5,0.4,0.3
Solar photovoltaic installers,47-2231,10.6,36.5,28.3,9.2,12.7,1.7,1.0
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters[1]",47-3011,25.9,46.2,16.4,4.7,4.8,1.1,1.0
Helpers--carpenters[1],47-3012,25.9,46.2,16.4,4.7,4.8,1.1,1.0
Helpers--electricians[1],47-3013,25.9,46.2,16.4,4.7,4.8,1.1,1.0
"Helpers--painters, paperhangers, plasterers, and stucco masons[1]",47-3014,25.9,46.2,16.4,4.7,4.8,1.1,1.0
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters[1]",47-3015,25.9,46.2,16.4,4.7,4.8,1.1,1.0
